config,run,op,ms
topk_padding,5,__TOTAL__,56.786138
topk_padding,5,Slice,0.008336
topk_padding,5,AllGather,0.868842
topk_padding,5,RMSNorm/LayerNorm,0.364512
topk_padding,5,Matmul,11.840395
topk_padding,5,BinaryNg,0.687179
topk_padding,5,ShardedToInterleaved,0.104114
topk_padding,5,SDPA decode,0.157452
topk_padding,5,ReduceScatter,1.244301
topk_padding,5,TopK,40.154954
topk_padding,5,Sampling,0.107691
